,mat1_abssum,mat1_squaresum,mat2_abssum,mat2_squaresum
319,933.763,33874.6,1633.5,121746
320,715.085,23992.2,1410.75,90406
321,778.351,26294.8,1184.04,70449.2
322,852.885,30752.9,1636.47,119111
323,763.401,24583.1,1421.64,91850.1
324,756.872,25348.5,1386.99,89137
325,764.991,27267,1368.11,89283.9
326,682.085,18516.8,1504.8,94227.4
327,741.161,25135,1370.16,87487.4
328,753.709,24218.3,1535.49,102605
329,708.206,21697.9,1454.31,92271.6
330,735.235,22842.6,1448.37,92747.2
331,628.95,19797.8,1573.11,101776
332,865.875,30194.3,1335.51,88851.9
333,841.196,30110,1363.16,91428.1
334,614.555,18482.3,1485,92071.5
335,711.821,22451.6,1456.29,93117.7
336,804.619,27552.1,1524.64,104722
337,791.087,27682.7,1554.3,108079
338,828.56,29794.3,1284.03,83547.1
339,779.982,24631.1,1458.27,95617.7
340,811.643,29331.7,1286.01,83235.7
341,710.311,22665.5,1231.56,71137.5
342,758.991,25688.1,1530.54,103683
343,768.243,24985.3,1621.62,111962
344,753.053,25220.9,1248.39,75770.2
345,801.541,26726,1233.22,75119.5
346,704.773,25702.9,1215.2,72471.6
347,809.289,27292.6,1565.32,108421
348,734.561,26422.4,1560.24,107352
349,772.957,26578.5,1597.86,111110
350,762.639,24801.7,1157.1,66225.1
351,760.893,25547.1,1620.63,112495
352,695.622,21270.9,1184.04,65251.2
353,751.805,24448.6,1644.39,113459
354,681.312,22582.1,1399.86,87867.7
355,800.357,28599,1483.02,102011
356,772.423,25922.6,1711.71,121328
357,692.511,21307.3,1411.74,87587.1
358,794.753,26858,1543.41,105885
359,781.955,26781.3,1461.24,97954.9
360,665.414,22306.1,1413.72,88887.3
361,814.15,29483.1,1399.86,94465.7
362,731.735,22563.1,1534.5,100758
363,713.699,24570.9,1542.42,104086
364,836.671,30134.1,1607.85,115536
365,641.267,19552,1528.6,97477.7
366,815.501,28249.3,1203.66,73983.8
367,840.707,30282.2,1689.93,123620
368,756.801,24045,1239.48,73722.2
369,778.738,26011.2,1624.69,113088
370,778.753,27174,1646.37,116681
371,890.994,33771.7,1530.54,111423
372,865.429,29904,1359.27,91342.5
373,696.512,22922.3,1676.07,114968
374,819.348,28944.1,1398.82,93779.5
375,676.744,20922.5,1404.81,86717.3
376,758.027,26088.6,1567.17,107625
377,773.659,28243.7,1508.79,103870
378,817.963,28575.4,1519.65,105684
379,604.767,16758.1,1475.1,89451.3
380,785.579,27636,1256.31,78684.8
381,672.217,21426.4,1528.56,98880.7
382,966.022,35633.6,1106.57,72035.4
383,698.803,22860.9,1395.85,87616.1
384,773.527,25619,1428.57,93535.8
385,750.895,24425.4,1595.88,108806
386,619.573,19770.7,1319.67,76988.3
387,727.499,23495.1,1536.48,102048
388,730.732,23904.1,1453.32,94364.5
389,855.031,31446.9,1810.71,136866
390,748.743,26359.5,1604.79,111634
391,705.327,22700,1475.1,95217.3
392,775.877,26344.5,1669.14,117880
393,860.099,31152.1,1393.87,95325.8
394,683.487,22100,1318.68,79359.1
395,702.629,22006.1,1187.01,66339.4
396,783.219,28247.9,1615.68,114673
397,810.386,26884,1467.18,98563.1
398,854.609,30046.3,1479.06,102695
399,701.865,22773.9,1266.21,74865.9
400,743.043,24910.2,1493.93,99317.5
401,645.104,19264.8,1521.63,96254
402,684.807,19552.1,1638.45,108340
403,693.582,23353.6,1607.76,108787
404,625.066,18026.9,1553.31,98360
405,778.732,25976,1533.51,104033
406,819.363,28575.2,1167.21,70932.9
407,714.311,20843.7,1371.15,82846.6
408,711.297,22673.1,1502.82,98005.5
409,790.321,27774,1140.8,67150.7
410,920.439,33898.1,1507.77,109240
411,646.055,18343.3,1261.26,70037.4
412,731.301,25069.9,1663.2,115894
413,828.285,30433.4,1261.97,81838
414,918.767,32020.2,1492.92,106544
415,644.917,19624.4,1591.92,103633
416,665.899,20143.9,1460.25,91083.8
417,722.236,23331.2,1416.69,90110.7
418,808.881,27297.4,1689.09,120721
419,715.015,22599.3,1571.2,104513
420,743.179,24276.4,1249.08,74608.9
421,654.102,21880.3,1253.19,72323.5
422,729.444,24096.6,1287.99,78296.2
423,657.884,21144.9,1463.22,92657
424,725.777,24776.4,1445.4,94554
425,718.326,22784.7,1357.29,83912.2
426,753.212,24769,1447.36,94631.1
427,687.361,22577.9,1514.73,98966.2
428,828.423,28915.7,1577.07,111504
429,690.001,22062.7,1590.93,106176
430,775.891,25831.7,1185.83,69814.6
431,728.723,23817,1428.57,91647.8
432,909.465,32569.1,1520.64,109761
433,763.709,26288.8,1608.75,111835
434,760.035,25369.6,1385.01,89050.7
435,648.028,21682.3,1284.03,75311.1
436,718.154,22769.9,1795.86,126749
437,851.282,30643.9,1638.45,119158
438,841.203,28983.2,1253.34,79570.8
439,825.441,29180.9,1298.76,84158.9
440,756.976,25701.6,1579.05,108481
441,666.492,21057.9,1515.69,97546.2
442,821.393,27244.5,1553.31,107448
443,759.079,27022.2,1263.24,78876
444,759.846,24050.1,1429.56,92164.9
445,756.886,26299.9,1358.2,87384.2
446,577.716,15711.2,1361.25,77204.9
447,725.946,25081.3,1390.95,89251.6
448,909.637,33760.1,1472.13,106027
449,662.539,20632.8,1295.79,75475.1
450,660.988,20859.9,1606.77,106566
451,852.752,31562.8,1214.56,78395
452,725.728,23286.1,1651.32,113232
453,804.21,29183.9,1596.87,113875
454,716.987,24365.7,1576.08,106761
455,790.624,26148.3,1687.95,119615
456,693.629,22394.5,1255.32,73317.5
457,736.155,24098.2,1489.95,98386.5
458,724.577,23700.8,1503.81,98834.5
459,708.679,22302.7,1588.04,105740
460,765.675,25901.9,1422.6,93326.1
461,824.735,28299.7,1433.52,96547.2
462,670.987,21525.9,1666.3,112911
463,856.499,32176.1,1731.51,129764
464,725.323,25193.1,1747.35,124233
465,629.329,20526.7,1248.39,70612.2
466,755.611,24089.4,1520.64,101027
467,684.251,21535.8,1302.84,77411.2
468,641.509,19945.5,1745.55,118737
469,707.417,23239.8,1725.57,120242
470,869.015,30770.5,1547.37,110652
471,769.3,25393.9,1485.99,98968.5
472,652.488,20658.1,1342.35,80197.1
473,875.109,32242.3,1557.33,112671
474,639.419,20396.6,1540.44,99456
475,690.407,22776,1415.66,89374.4
476,673.334,20507.2,1625.58,107856
477,723.837,24393.4,1604.79,109578
478,682.769,21437.2,1551.33,101556
479,789.019,27244.7,1442.43,96700.8
480,817.812,28442.7,1603.89,113410
481,843.595,33433.6,1558.32,114024
482,709.011,23763.9,1208.61,70282.7
483,808.278,26216.9,1353.33,86687.4
484,643.879,20719.3,1616.67,106866
485,765.029,26500.1,1343.43,86223.5
486,853.273,28163.4,1591.92,111937
487,656.66,22438.8,1478.07,95320.4
488,731.87,25126.7,1381.05,88430.1
489,783.752,27405.1,1407.74,93029.6
490,777.155,25934.3,1663.2,116648
491,579.737,14040.9,1501.83,89132.5
492,802.107,27132.6,1537.47,106001
493,717.864,24452.7,1330.47,82888.6
494,705.056,22621.2,1383.03,86070.4
495,883.315,32010.3,1242.45,81640.2
496,891.751,30997.8,1384.02,94549.6
497,660.023,21702.6,1758.24,121732
498,713.311,23680.5,1638.45,112204
499,651.227,19245.4,1439.46,88257.6
500,725.142,23771,1380.06,86817
501,695.932,24787.7,1403.77,90297.1
502,908.905,33993.1,1474.11,106400
503,688.993,21574.5,1426.59,89501.6
504,811.829,27329.6,1463.22,98839
505,617.209,19451.9,1321.65,77080.8
506,649.087,18873.5,1547.37,98610.5
507,799.395,27906.6,1183.05,71739.7
508,742.755,25355.1,1377.03,87988.4
509,754.844,24769.7,1556.28,105415
510,732.445,24832.3,1622.61,111709
511,777.559,25325.6,1328.58,83311.4
512,727.533,23349.2,1321.55,80711.6
513,854.074,30278.1,1584,113194
514,610.184,19114.5,1469.16,91091.2
515,769.267,26566.8,1236.19,75545.5
516,671.163,19875.9,1441.44,88919.8
517,636.653,19223.9,1530.54,97244.6
518,761.637,24962.8,1356.22,85717.8
519,619.218,16637.9,1320.66,74247.6
520,786.231,27913.7,1282.05,81298.6
521,790.338,28133.2,1525.59,105704
522,781.145,26776.4,1573.11,108718
523,770.106,26296,1332.54,85064.2
524,843.617,30142,1513.74,106343
525,848.65,30417.4,1660.23,121203
526,847.75,31335.9,1422.6,98624.1
527,850.873,31809.9,1746.36,130916
528,822.251,30106.1,1769.13,131589
529,761.687,25233.9,1265.22,77122.6
530,725.692,23640.4,1538.46,102298
531,752.173,23350.5,1560.24,104072
532,746.109,23553.5,1564.2,104904
533,856.423,30535.8,1360.19,91772.5
534,684.083,22062.5,1444.41,91669
535,759.594,23608.4,1631.52,111398
536,724.718,23740.5,1431.54,92237
537,749.501,23391,1595.88,107372
538,938.999,35384,1219.68,82593.2
539,829.384,30329.1,1460.25,101422
540,889.221,31552.6,1058.03,62803.4
541,709.495,22201.5,1493.91,96556.5
542,814.917,27342.5,1432.53,95832.1
543,711.106,22193.9,1523.61,99805.9
544,588.989,18136.4,1447.38,88006.2
545,841.477,27001.5,1517.7,103725
546,898.497,31840.9,1607.76,117329
547,753.612,23658.4,1390.95,88023.6
548,772.593,26810,1492.92,101016
549,568.849,16993.9,1418.67,84104.9
550,699.199,21025.2,1410.75,87204
551,576.943,16202.5,1541.43,95258.9
552,823.383,29557.6,1451.33,99705.3
553,762.519,25122.1,1631.52,113386
554,740.185,24077.9,1371.15,86356.6
555,722.131,24235.9,1315.71,81041.4
556,806.864,27282.3,1545.39,106827
557,815.704,27670.8,1433.49,96316.1
558,717.932,23668.2,1524.6,101241
559,819.795,27516.9,1668.15,119228
560,555.645,16384.5,1355.31,77347.8
561,742.341,22543.5,1462.23,93831.9
562,891.514,32050.8,1391.94,96314.7
563,744.513,23522.6,1770.12,124807
564,808.943,27505.2,1383.03,90848.4
565,741.147,25457.9,1779.03,127823
566,753.557,26635.6,1507.79,102317
567,845.776,29321.9,1717.65,125330
568,732.764,23795.6,1528.56,101621
569,790.985,25415.9,1234.53,74395.5
570,680.88,22132.7,1137.51,61435.3
571,729.187,22679.3,1685.97,115869
572,880.313,31824.6,1381.05,95024.1
573,614.151,17606.7,1368.18,79807.1
574,701.105,24358.5,1315.71,81061.4
575,869.441,31523.9,1427.55,99319.6
576,800.823,26030.2,1382.04,89501.3
577,737.179,23755.2,1424.61,91455.4
578,783.099,25031.9,1461.24,96456.9
579,692.111,22061.3,1342.35,81423.1
580,756.337,25735.2,1690.08,119175
581,756.365,26000.2,1759.23,126622
582,858.677,30947,1230.41,79338.8
583,661.172,19604.1,1552.32,99861.1
584,716.173,23023.6,1603.8,108363
585,709.527,23843.9,1346.32,83393.9
586,789.867,27987.8,1624.69,115414
587,747.565,25098.5,1595.88,109470
588,694.82,23450.4,1592,107428
589,566.791,17742.5,1450.32,87661.2
590,805.973,27927.9,1279.94,81216.7
591,798.331,27702.9,1539.45,106611
592,659.188,16779.4,1267.2,68933.2
593,733.589,23090.5,1307.57,79145
594,719.815,25307.2,1280.07,78728
595,879.07,31643.8,1495.89,106161
596,888.417,31918.4,1345.33,91980.7
597,739.325,24689.9,1284.03,78443.1
598,641.101,20606,1268.91,72751.2
599,855.043,30558.1,1529.59,108421
600,839.814,28642.5,1314.61,85542.9
601,764.719,26477,1746.36,125338
602,645.523,20554.8,1318.68,77459.1
603,715.542,21727.5,1647.48,111097
604,852.38,30433.8,1262.11,82137.4
605,833.913,29220.1,1284.89,82927.1
606,772.301,25831,1372.14,88117.7
607,815.011,28971.9,1741.41,127741
608,683.601,22013.2,1607.76,107447
609,735.993,24516.7,1492.92,98635.5
610,739.289,22872.5,1338.48,82065.5
611,715.389,23415.6,1504.8,99035.4
612,803.209,27325.4,1358.28,88611.4
613,853.391,29385.1,1614.69,115642
614,732.725,23530.6,1366.2,85588.7
615,751.413,25523.8,1763.19,126445
616,608.703,17017.1,1413.72,83663.3
617,741.013,24884.8,1390.9,89260.4
618,800.69,27206,1621.62,113860
619,643.963,20271.5,1454.3,90688.5
620,696.607,22607.7,1540.49,101649
621,649.689,18368.9,1449.36,88512.3
622,607.292,17941.4,1498.86,92923.5
623,719.379,22619.3,1459.26,93852.8
624,682.984,22034.7,1602.81,106842
625,692.088,22330.2,1275.12,75169.6
626,748.316,24243.2,1755.27,124440
627,702.635,20961.3,1600.83,105997
628,685.951,22939.6,1614.69,109034
629,811.681,26799.4,1671.12,118406
630,853.937,31143.7,1724.58,128481
631,822.715,26886.4,1232.39,75619.5
632,861.415,31068.6,1917.63,146640
633,873.57,30456.7,1537.47,109121
634,727.527,23260.6,1377.09,86267.5
635,743.707,25147.3,1584,108166
636,818.597,27881.4,1721.61,124613
637,805.1,28717.7,1458.25,99587.7
638,726.051,24421.9,1584,107718
639,841.771,30403.2,1538.51,108751
640,739.597,24607.7,1448.37,94405.2
641,755.053,24846.5,1625.58,112140
642,781.999,26880.9,1639.55,115370
643,627.205,20210,1715.67,116227
644,557.648,15266.6,1644.39,104297
645,584.323,18498.4,1367.19,80515.9
646,789.318,26898,1381.05,89868.1
647,738.649,24158.8,1658.38,114517
648,815.219,30235.9,1355.23,91214.6
649,716.481,23732.8,1406.79,89569.6
650,721.439,23405.3,1662.21,114551
651,799.451,28325.2,1260.13,79752.7
652,758.514,26577.1,1297.89,81804.9
653,669.307,20616.9,1569.15,102219
654,751.768,23516,1518.66,100471
655,734.561,23740.1,1460.25,94727.8
656,748.726,24215.5,1395.85,88848.1
657,700.523,21488,1435.5,90377.3
658,763.373,24906.1,1214.73,71978.3
659,767.215,27234,1509.78,103027
660,799.735,25079.4,1366.2,87180.7
661,737.439,22898.5,1547.37,102398
662,796.214,27412.7,1438.47,96466.6
663,709.546,23472.5,1199.88,69129.6
664,701.975,23524.6,1439.46,92373.6
665,962.137,37248.9,1526.58,115027
666,832.75,28658.9,1881.99,140700
667,663.73,19337.9,1617.66,105797
668,767.647,25942,1530.54,103893
669,680.097,22888.1,1517.7,99357.1
670,796.538,29295.2,1113.75,66323.5
671,839.513,31313.8,1330.56,89855.8
672,771.455,24951,1789.92,128220
673,784.543,27979.5,1554.36,108210
674,711.683,23102.6,1550.34,103099
675,721.617,23027.7,1390.95,87289.6
676,868.087,32191,1475.1,104590
677,627.42,17159.9,1531.53,95095.5
678,708.274,23531.7,1457.28,94386.7
679,829.712,28870.6,1385.94,92638.7
680,825.169,29417.6,1578.06,112067
681,780.865,27468.1,1281.06,81051.3
682,587.981,18846.4,1592.91,102998
683,842.648,29894.6,1584,112748
684,703.212,22688.9,1641.53,111260
685,635.227,19308.4,1604.79,104620
686,751.156,25435.3,1353.25,86062.2
687,825.623,27296.3,1542.42,106402
688,731.187,24001.6,1354.32,84456.6
689,895.117,32331.4,1411.7,98650
690,779.609,26686.9,1546.38,106258
691,788.815,28746,1364.15,90145.2
692,583.205,16778.9,1355.31,77721.8
693,741.669,23227.3,1392.93,87839.8
694,823.471,28219,1552.37,108338
695,903.971,32727,1450.34,102644
696,752.125,23269.7,1572.12,105121
697,692.249,22048.8,1431.54,90161
698,841.76,31069.4,1716.99,127356
699,814.069,28568.9,1659.37,119162
700,840.653,30044.1,1350.28,90080.7
701,825.66,29652.2,1380.99,93213
702,740.166,24096.8,1144.44,64471.6
703,804.509,28282.8,1647.48,117717
